evaluation_date,agent_name,team_manager,campaign,channel,call_reason,coaching_status,tenure_bucket,shift,qa_evaluator,qa_score,aht_seconds,csat_score,nps_score,compliance_score,resolution_rate,target_met,critical_error_flag
2025-01-28,Agent_040,Team D,Retail Support,Chat,Account Access,Not Coached,4-6 months,Morning,Evaluator 2,83.1,532.0,4.49,60,85.8,81.8,Not Met,No
2025-04-18,Agent_066,Team F,Retail Support,Chat,Billing Issue,Not Coached,12+ months,Mid,Evaluator 4,92.2,494.0,3.77,26,90.5,78.2,Met,No
2025-02-13,Agent_109,Team D,Tech Support,Chat,Account Access,Coached,7-12 months,Mid,Evaluator 1,75.4,609.0,3.61,13,89.0,80.2,Not Met,No
2025-12-06,Agent_025,Team D,Sales,Voice,Complaint,Not Coached,4-6 months,Morning,Evaluator 4,84.5,559.0,4.08,33,92.6,74.7,Not Met,No
2025-10-13,Agent_103,Team A,Banking Support,Voice,Upsell Inquiry,Not Coached,0-3 months,Morning,Evaluator 2,79.6,634.0,4.06,32,85.3,69.5,Not Met,No
2025-11-27,Agent_073,Team E,Tech Support,Voice,Billing Issue,Coached,12+ months,Morning,Evaluator 1,70.8,732.0,3.85,14,88.7,76.3,Not Met,Yes
2025-05-08,Agent_118,Team A,Claims,Voice,Order Status,Coached,4-6 months,Mid,Evaluator 4,75.7,779.0,4.02,32,94.6,70.3,Not Met,No
2025-12-14,Agent_022,Team E,Claims,Voice,Complaint,Coached,7-12 months,Mid,Evaluator 2,64.6,784.0,3.51,28,85.8,70.5,Not Met,Yes
2025-08-19,Agent_107,Team E,Billing,Email,Escalation,Not Coached,7-12 months,Morning,Evaluator 1,83.2,462.0,3.82,25,88.4,73.3,Not Met,No
2025-07-09,Agent_110,Team E,Retail Support,Voice,Policy Question,Not Coached,0-3 months,Night,Evaluator 4,68.4,708.0,3.73,22,79.8,67.6,Not Met,Yes
2025-08-13,Agent_004,Team A,Claims,Voice,Order Status,Not Coached,7-12 months,Night,Evaluator 2,83.1,745.0,4.29,52,92.2,74.8,Not Met,No
2025-10-10,Agent_026,Team B,Tech Support,Voice,Technical Troubleshooting,Coached,0-3 months,Mid,Evaluator 1,68.6,855.0,3.84,24,89.4,67.8,Not Met,Yes
2025-05-01,Agent_058,Team B,Claims,Voice,Policy Question,Not Coached,4-6 months,Morning,Evaluator 4,72.2,773.0,3.92,37,87.9,75.0,Not Met,Yes
2025-04-26,Agent_029,Team C,Tech Support,Email,Complaint,Coached,7-12 months,Mid,Evaluator 1,79.1,458.0,3.88,18,89.0,80.4,Not Met,No
2025-08-21,Agent_109,Team A,Banking Support,Voice,Technical Troubleshooting,Coached,4-6 months,Morning,Evaluator 2,83.3,652.0,4.11,31,93.6,88.5,Not Met,No
2025-09-16,Agent_098,Team F,Billing,Voice,Escalation,Not Coached,12+ months,Morning,Evaluator 4,84.2,670.0,,26,89.5,77.7,Not Met,No
2025-12-25,Agent_087,Team D,Retail Support,Chat,Account Access,Coached,12+ months,Mid,Evaluator 4,91.4,498.0,4.59,57,96.8,74.5,Met,No
2025-07-17,Agent_037,Team B,,Voice,Technical Troubleshooting,Not Coached,12+ months,Morning,Evaluator 4,80.1,914.0,3.48,15,95.6,70.1,Not Met,No
2025-05-17,Agent_075,Team C,Tech Support,Voice,Account Access,Coached,0-3 months,Morning,Evaluator 2,73.9,678.0,3.64,18,81.8,71.1,Not Met,Yes
2025-11-14,Agent_070,Team C,Sales,Voice,Billing Issue,Not Coached,0-3 months,Morning,Evaluator 3,76.5,573.0,3.54,26,90.4,70.6,Not Met,No
2025-06-14,Agent_018,Team D,Retail Support,Voice,Cancellation,Coached,7-12 months,Morning,Evaluator 4,78.8,720.0,3.97,38,91.6,75.9,Not Met,No
2025-08-13,Agent_085,Team D,Banking Support,Email,Refund Request,Not Coached,12+ months,Morning,Evaluator 2,89.4,493.0,4.16,32,99.2,78.1,Met,No
2025-11-03,Agent_042,Team F,Tech Support,Chat,Order Status,Coached,12+ months,Night,Evaluator 1,89.2,535.0,4.45,39,90.6,81.2,Met,No
2025-08-22,Agent_100,Team C,Billing,Voice,Refund Request,Coached,12+ months,Morning,Evaluator 1,84.6,682.0,4.09,42,93.1,68.1,Not Met,No
2025-06-21,Agent_041,Team F,Billing,Chat,Billing Issue,Not Coached,4-6 months,Morning,Evaluator 2,84.9,597.0,3.77,21,90.1,79.8,Not Met,No
2025-06-01,Agent_038,Team F,Banking Support,Voice,Technical Troubleshooting,Coached,4-6 months,Morning,Evaluator 3,78.4,861.0,,33,88.5,63.9,Not Met,No
2025-11-11,Agent_034,Team B,Banking Support,Voice,Billing Issue,Not Coached,7-12 months,Night,Evaluator 2,77.3,701.0,3.62,23,90.8,73.8,Not Met,No
2025-06-09,Agent_017,Team F,Billing,Voice,Refund Request,Not Coached,0-3 months,Mid,Evaluator 1,68.4,796.0,3.54,35,90.6,66.1,Not Met,Yes
2025-04-06,Agent_037,Team A,Claims,Voice,Refund Request,Coached,0-3 months,Morning,Evaluator 1,69.3,778.0,3.87,37,88.1,72.8,Not Met,Yes
2025-08-21,Agent_025,Team E,Claims,Voice,Order Status,Coached,12+ months,Night,Evaluator 4,76.6,758.0,3.56,29,87.9,72.8,Not Met,No
2025-06-29,Agent_102,Team C,Tech Support,Chat,,Not Coached,4-6 months,Morning,Evaluator 3,67.7,558.0,4.16,31,81.4,76.2,Not Met,Yes
2025-04-23,Agent_076,Team F,Sales,Email,Upsell Inquiry,Not Coached,4-6 months,Morning,Evaluator 2,97.1,339.0,4.7,56,93.4,85.4,Met,No
2025-11-14,Agent_087,Team F,Tech Support,Voice,Billing Issue,Not Coached,0-3 months,Morning,Evaluator 1,68.7,,3.7,34,83.2,73.7,Not Met,Yes
2025-02-21,Agent_117,Team E,Sales,Voice,Cancellation,Coached,12+ months,Morning,Evaluator 1,85.1,660.0,3.76,30,94.2,75.8,Met,No
2025-09-25,Agent_106,Team E,Banking Support,Voice,Upsell Inquiry,Not Coached,7-12 months,Morning,Evaluator 1,72.0,658.0,3.8,25,85.2,75.8,Not Met,Yes
2025-10-22,Agent_086,Team B,Retail Support,Voice,Billing Issue,Coached,7-12 months,Mid,Evaluator 2,85.4,688.0,3.84,33,96.1,83.8,Met,No
2025-04-23,Agent_085,Team A,Tech Support,Voice,Escalation,Not Coached,12+ months,Morning,Evaluator 2,76.8,919.0,3.81,16,94.9,75.0,Not Met,No
2025-04-11,Agent_027,Team C,Tech Support,Voice,Complaint,Not Coached,4-6 months,Mid,Evaluator 3,63.0,835.0,3.36,32,84.6,67.9,Not Met,Yes
2025-04-23,Agent_057,Team B,Sales,Chat,Complaint,Coached,7-12 months,Morning,Evaluator 4,89.1,467.0,4.26,36,89.6,86.0,Met,No
2025-03-22,Agent_031,Team E,Banking Support,Voice,Refund Request,Coached,0-3 months,Morning,Evaluator 4,68.4,720.0,4.16,30,82.9,71.7,Not Met,Yes
2025-07-06,Agent_006,Team C,Banking Support,Voice,Complaint,Coached,0-3 months,Morning,Evaluator 4,63.0,818.0,3.24,6,83.8,64.7,Not Met,Yes
2025-04-23,Agent_091,Team F,Sales,Voice,Account Access,Coached,12+ months,Night,Evaluator 1,89.8,643.0,3.75,35,96.2,76.8,Met,No
2025-01-02,Agent_040,Team D,Banking Support,Voice,Cancellation,Not Coached,12+ months,Morning,Evaluator 4,77.5,827.0,3.72,33,92.8,67.4,Not Met,No
2025-05-10,Agent_098,Team E,Billing,Voice,Complaint,Coached,4-6 months,Mid,Evaluator 1,65.9,693.0,3.93,27,83.0,63.4,Not Met,Yes
2025-08-08,Agent_012,Team A,Claims,Chat,Technical Troubleshooting,Coached,4-6 months,Morning,Evaluator 3,83.5,631.0,4.23,22,90.5,72.8,Not Met,No
2025-02-23,Agent_109,Team F,Billing,Voice,Account Access,Coached,7-12 months,Morning,Evaluator 1,88.5,627.0,4.18,32,90.7,77.4,Met,No
2025-12-09,Agent_053,Team F,Retail Support,Chat,Upsell Inquiry,Not Coached,0-3 months,Morning,Evaluator 3,69.3,443.0,3.68,34,78.2,77.4,Not Met,Yes
2025-08-12,Agent_071,Team C,Tech Support,Voice,Account Access,Not Coached,4-6 months,Morning,Evaluator 3,76.7,682.0,3.65,27,84.7,66.8,Not Met,Yes
2025-08-13,Agent_010,Team D,Retail Support,Voice,Billing Issue,Coached,4-6 months,Morning,Evaluator 4,77.1,686.0,3.75,30,93.4,65.4,Not Met,No
2025-05-06,Agent_045,Team E,Tech Support,Voice,Refund Request,Coached,4-6 months,Morning,Evaluator 4,75.5,797.0,3.7,20,85.8,76.1,Not Met,No
2025-05-10,Agent_017,Team B,Claims,Chat,Order Status,Not Coached,12+ months,Night,Evaluator 1,90.7,609.0,4.02,23,91.7,78.2,Met,No
2025-02-22,Agent_026,Team D,Banking Support,Voice,Order Status,Not Coached,4-6 months,Morning,Evaluator 2,77.3,568.0,3.71,39,91.1,82.8,Not Met,No
2025-06-21,Agent_085,Team C,Billing,Chat,Escalation,Coached,0-3 months,Mid,Evaluator 4,64.4,523.0,3.87,19,84.5,81.0,Not Met,Yes
2025-08-06,Agent_092,Team A,Sales,Voice,Cancellation,Coached,7-12 months,Morning,Evaluator 4,91.9,709.0,4.12,36,96.2,79.3,Met,No
2025-06-09,Agent_062,Team C,Billing,Chat,Billing Issue,Coached,12+ months,Mid,Evaluator 2,87.0,535.0,3.93,23,95.7,79.2,Met,No
2025-07-17,Agent_046,Team A,Claims,Voice,Order Status,Coached,4-6 months,Mid,Evaluator 2,75.2,697.0,3.93,43,86.0,73.5,Not Met,No
2025-09-04,Agent_064,Team A,Retail Support,Chat,Refund Request,Not Coached,0-3 months,Morning,Evaluator 4,86.9,600.0,4.34,48,86.7,77.5,Met,No
2025-11-20,Agent_002,Team A,Sales,Voice,Upsell Inquiry,Not Coached,4-6 months,Morning,Evaluator 2,88.1,519.0,4.53,44,98.3,77.6,Met,No
2025-07-22,Agent_054,Team F,Banking Support,Email,Order Status,Coached,12+ months,Mid,Evaluator 1,90.6,425.0,3.75,37,93.2,80.0,Met,No
2025-07-03,Agent_107,Team D,Claims,Voice,Technical Troubleshooting,Not Coached,7-12 months,Night,Evaluator 3,73.1,783.0,3.86,20,90.3,64.9,Not Met,Yes
2025-05-03,Agent_065,Team F,Sales,Voice,Account Access,Coached,12+ months,Morning,Evaluator 3,80.1,489.0,4.8,49,91.6,80.6,Not Met,No
2025-09-12,Agent_051,Team C,Claims,Voice,Order Status,Not Coached,12+ months,Morning,Evaluator 4,82.4,702.0,3.95,22,93.0,78.8,Not Met,No
2025-10-21,Agent_053,Team B,Claims,Chat,Billing Issue,Not Coached,12+ months,Night,Evaluator 4,78.2,541.0,4.08,45,87.6,84.3,Not Met,No
2025-10-07,Agent_036,Team D,Banking Support,Voice,Complaint,Coached,7-12 months,Morning,Evaluator 1,91.1,695.0,4.27,43,96.2,76.4,Met,No
2025-11-21,Agent_115,Team C,Tech Support,Chat,Complaint,Coached,7-12 months,Mid,Evaluator 2,81.2,585.0,4.04,38,88.0,73.4,Not Met,No
2025-04-08,Agent_026,Team A,Sales,Voice,Upsell Inquiry,Not Coached,0-3 months,Morning,Evaluator 4,80.4,574.0,4.15,35,85.5,78.8,Not Met,No
2025-07-17,Agent_029,Team D,Banking Support,Voice,Complaint,Coached,12+ months,Morning,Evaluator 3,87.0,691.0,3.96,40,93.2,77.1,Met,No
2025-08-28,Agent_021,Team B,Claims,Voice,Upsell Inquiry,Coached,4-6 months,Mid,Evaluator 1,81.5,697.0,3.96,25,89.6,72.8,Not Met,No
2025-05-24,Agent_011,Team D,Banking Support,Email,Billing Issue,Coached,0-3 months,Mid,Evaluator 1,79.9,525.0,4.16,32,87.3,70.8,Not Met,No
2025-04-07,Agent_040,Team D,Tech Support,Chat,Cancellation,Not Coached,7-12 months,Morning,Evaluator 2,81.8,629.0,4.18,37,94.0,85.2,Not Met,No
2025-07-20,Agent_011,Team B,Billing,Email,Complaint,Coached,4-6 months,Mid,Evaluator 4,86.8,500.0,4.02,29,87.6,81.6,Met,No
2025-05-04,Agent_036,Team A,Sales,Voice,Escalation,Not Coached,7-12 months,Night,Evaluator 4,82.9,680.0,3.87,39,92.4,79.5,Not Met,No
2025-07-06,Agent_113,Team E,Tech Support,Chat,Refund Request,Coached,7-12 months,Mid,Evaluator 1,77.8,618.0,3.5,18,89.9,72.3,Not Met,No
2025-11-22,Agent_059,Team C,,Chat,Account Access,Not Coached,4-6 months,Morning,Evaluator 3,79.6,563.0,3.84,21,86.6,75.4,Not Met,No
2025-12-15,Agent_039,Team A,Sales,Voice,Complaint,Not Coached,12+ months,Mid,Evaluator 4,86.3,673.0,4.21,30,95.7,76.9,Met,No
2025-09-16,Agent_104,Team F,Tech Support,Chat,Upsell Inquiry,Not Coached,4-6 months,Mid,Evaluator 3,78.2,615.0,4.02,40,85.5,78.0,Not Met,No
2025-05-28,Agent_099,Team A,Claims,Email,Billing Issue,Coached,4-6 months,Night,Evaluator 1,88.2,564.0,3.88,15,93.5,83.5,Met,No
2025-09-09,Agent_054,Team E,Sales,Email,Complaint,Not Coached,7-12 months,Mid,Evaluator 4,71.3,382.0,3.69,20,89.4,74.4,Not Met,Yes
2025-12-12,Agent_098,Team F,Sales,Chat,Order Status,Not Coached,7-12 months,Morning,Evaluator 3,94.8,394.0,4.15,50,93.1,76.9,Met,No
2025-05-27,Agent_055,Team B,Banking Support,Voice,Complaint,Coached,12+ months,Mid,Evaluator 1,84.3,732.0,4.15,34,86.8,78.5,Not Met,No
2025-05-28,Agent_111,Team A,Claims,Voice,Upsell Inquiry,Coached,4-6 months,Mid,Evaluator 3,80.5,733.0,3.83,38,93.1,72.3,Not Met,No
2025-12-18,Agent_024,Team A,Retail Support,Email,Technical Troubleshooting,Coached,7-12 months,Morning,Evaluator 4,95.0,676.0,3.71,34,96.7,80.4,Met,No
2025-07-18,Agent_118,Team B,Billing,Voice,Technical Troubleshooting,Coached,0-3 months,Morning,Evaluator 2,62.3,758.0,3.68,26,86.6,69.6,Not Met,Yes
2025-11-04,Agent_022,Team A,Tech Support,Chat,Complaint,Not Coached,12+ months,Morning,Evaluator 3,84.1,638.0,4.11,25,90.2,73.0,Not Met,No
2025-05-08,Agent_069,Team E,Banking Support,Chat,Account Access,Coached,4-6 months,Mid,Evaluator 2,79.4,564.0,4.22,25,84.9,68.4,Not Met,Yes
2025-02-08,Agent_056,Team A,Tech Support,Chat,Billing Issue,Coached,7-12 months,Morning,Evaluator 4,84.0,597.0,4.05,27,89.2,80.8,Not Met,No
2025-12-04,Agent_033,Team D,Retail Support,Email,Escalation,Not Coached,0-3 months,Mid,Evaluator 2,77.0,610.0,4.16,42,89.4,75.9,Not Met,No
2025-12-26,Agent_036,Team F,Retail Support,Voice,Escalation,Coached,4-6 months,Night,Evaluator 1,83.9,646.0,4.15,42,97.5,78.9,Not Met,No
2025-05-09,Agent_111,Team E,Sales,Voice,Complaint,Coached,7-12 months,Night,Evaluator 2,64.9,692.0,3.59,16,87.0,75.4,Not Met,Yes
2025-09-24,Agent_020,Team D,Retail Support,Voice,Complaint,Coached,12+ months,Night,Evaluator 3,87.4,742.0,4.23,38,92.1,61.0,Met,No
2025-05-31,Agent_083,Team B,Tech Support,Voice,Technical Troubleshooting,Not Coached,7-12 months,Night,Evaluator 3,69.6,923.0,3.74,27,89.6,71.9,Not Met,Yes
2025-10-25,Agent_099,Team D,Claims,Voice,Upsell Inquiry,Not Coached,12+ months,Morning,Evaluator 2,84.7,688.0,3.69,30,85.9,70.5,Not Met,No
2025-04-09,Agent_116,Team D,Claims,Voice,Account Access,Not Coached,7-12 months,Mid,Evaluator 1,81.8,759.0,4.25,33,88.0,66.4,Not Met,No
2025-09-20,Agent_107,Team C,Sales,Chat,Complaint,Coached,7-12 months,Morning,Evaluator 4,81.5,481.0,4.07,48,89.6,71.3,Not Met,No
2025-09-09,Agent_081,Team A,Billing,Email,Escalation,Not Coached,0-3 months,Night,Evaluator 2,72.5,491.0,3.65,37,84.7,68.7,Not Met,Yes
2025-05-24,Agent_062,Team F,Tech Support,Voice,Billing Issue,Coached,12+ months,Morning,Evaluator 3,84.1,708.0,3.79,30,95.8,77.2,Not Met,No
2025-12-12,Agent_109,Team C,Tech Support,Voice,Cancellation,Coached,4-6 months,Night,Evaluator 3,73.0,726.0,3.6,20,82.6,69.4,Not Met,Yes
2025-04-22,Agent_107,Team B,Retail Support,Email,Order Status,Coached,12+ months,Mid,Evaluator 2,92.3,411.0,4.12,32,96.2,77.0,Met,No
2025-03-01,Agent_098,Team C,Tech Support,Voice,Complaint,Not Coached,12+ months,Night,Evaluator 2,70.8,812.0,3.63,27,93.3,72.0,Not Met,Yes
2025-01-02,Agent_073,Team C,Banking Support,Voice,Upsell Inquiry,Coached,12+ months,Morning,Evaluator 2,80.8,644.0,3.9,26,92.4,72.2,Not Met,No
2025-10-31,Agent_026,Team E,Billing,Voice,Complaint,,7-12 months,Morning,Evaluator 4,74.8,731.0,3.75,26,88.2,77.2,Not Met,Yes
2025-09-11,Agent_066,Team E,Retail Support,Voice,Upsell Inquiry,Coached,7-12 months,Night,Evaluator 3,77.1,693.0,3.83,12,89.6,79.9,Not Met,No
2025-05-20,Agent_117,Team E,Banking Support,Voice,Account Access,Coached,12+ months,Morning,Evaluator 3,80.3,652.0,4.05,27,88.6,75.0,Not Met,No
2025-02-06,Agent_073,Team A,Sales,Email,Cancellation,Not Coached,0-3 months,Night,Evaluator 3,78.9,594.0,3.81,33,81.0,80.3,Not Met,Yes
2025-06-09,Agent_073,Team C,Claims,Voice,Refund Request,Coached,7-12 months,Morning,Evaluator 4,71.6,792.0,4.04,39,85.8,77.9,Not Met,Yes
2025-01-09,Agent_040,Team C,Sales,Voice,Billing Issue,Not Coached,0-3 months,Mid,Evaluator 1,67.6,609.0,3.56,17,84.2,72.6,Not Met,Yes
2025-08-21,Agent_017,Team A,Claims,Voice,Billing Issue,Coached,7-12 months,Morning,Evaluator 3,81.6,718.0,4.12,26,89.8,83.1,Not Met,No
2025-04-09,Agent_001,Team B,Sales,Voice,Upsell Inquiry,Not Coached,0-3 months,Mid,Evaluator 3,76.8,520.0,4.36,46,85.1,73.1,Not Met,No
2025-05-27,Agent_089,Team E,Tech Support,Chat,Technical Troubleshooting,Not Coached,0-3 months,Mid,Evaluator 1,75.7,699.0,3.67,24,84.1,62.0,Not Met,Yes
2025-10-31,Agent_061,Team A,Banking Support,Chat,Upsell Inquiry,Coached,4-6 months,Morning,Evaluator 4,87.7,376.0,4.33,31,92.6,76.0,Met,No
2025-07-27,Agent_043,Team D,Claims,Chat,Technical Troubleshooting,Coached,4-6 months,Morning,Evaluator 1,84.0,739.0,3.69,15,94.1,71.0,Not Met,No
2025-05-11,Agent_104,Team B,Retail Support,Voice,Policy Question,Not Coached,7-12 months,Morning,Evaluator 1,95.4,520.0,3.97,30,91.3,81.0,Met,No
2025-06-01,Agent_042,Team A,Banking Support,Email,Escalation,Not Coached,0-3 months,Mid,Evaluator 1,85.0,552.0,4.36,43,89.5,71.1,Met,No
2025-02-23,Agent_025,Team B,Retail Support,Chat,Billing Issue,Coached,7-12 months,Mid,Evaluator 1,89.1,447.0,4.37,54,89.5,78.6,Met,No
2025-04-30,Agent_039,Team F,Banking Support,Chat,Account Access,Coached,0-3 months,Mid,Evaluator 4,73.6,481.0,4.16,30,83.1,71.9,Not Met,Yes
2025-06-10,Agent_035,Team E,Banking Support,Voice,Upsell Inquiry,Not Coached,7-12 months,Mid,Evaluator 4,81.7,624.0,3.44,25,85.9,72.1,Not Met,No
2025-04-26,Agent_003,Team F,Sales,Voice,Account Access,Not Coached,7-12 months,Mid,Evaluator 1,81.4,706.0,3.71,12,87.1,79.7,Not Met,No
2025-03-16,Agent_114,Team C,Claims,Voice,Cancellation,Coached,7-12 months,Morning,Evaluator 2,71.6,714.0,4.24,38,88.6,75.5,Not Met,Yes
2025-04-23,Agent_101,Team A,Claims,Chat,Account Access,Coached,12+ months,Morning,Evaluator 2,88.4,600.0,4.22,53,90.4,77.4,Met,No
2025-04-14,Agent_108,Team D,Banking Support,Voice,Complaint,Coached,4-6 months,Morning,Evaluator 2,76.2,799.0,3.96,34,94.1,77.3,Not Met,No
2025-12-06,Agent_044,Team C,Tech Support,Voice,Escalation,Not Coached,12+ months,Night,Evaluator 2,57.7,681.0,3.9,24,85.7,75.0,Not Met,Yes
2025-09-11,Agent_051,Team F,Tech Support,Email,,Coached,4-6 months,Night,Evaluator 3,70.8,561.0,3.9,43,87.5,77.4,Not Met,Yes
2025-08-15,Agent_094,Team A,Retail Support,Email,Order Status,Not Coached,7-12 months,Morning,Evaluator 4,92.3,517.0,4.21,44,91.7,84.3,Met,No
2025-04-22,Agent_102,Team C,Retail Support,Email,Upsell Inquiry,Coached,7-12 months,Mid,Evaluator 4,94.0,353.0,3.89,34,93.6,80.8,Met,No
2025-04-09,Agent_098,Team B,Sales,Voice,Billing Issue,Coached,0-3 months,Night,Evaluator 1,76.3,686.0,3.53,18,94.5,76.4,Not Met,No
2025-06-02,Agent_012,Team C,Banking Support,Chat,Upsell Inquiry,Not Coached,7-12 months,Mid,Evaluator 3,94.1,494.0,3.87,34,94.6,81.5,Met,No
2025-12-15,Agent_019,Team E,Retail Support,Voice,Escalation,Not Coached,7-12 months,Morning,Evaluator 1,72.9,717.0,3.82,21,82.5,72.1,Not Met,Yes
2025-12-04,Agent_101,Team C,Retail Support,Voice,Refund Request,Not Coached,4-6 months,Morning,Evaluator 1,69.3,694.0,3.44,24,84.9,66.6,Not Met,Yes
2025-07-13,Agent_044,Team C,Billing,Voice,Refund Request,Coached,0-3 months,Mid,Evaluator 4,67.5,724.0,3.8,28,83.8,70.6,Not Met,Yes
2025-11-06,Agent_059,Team C,Banking Support,Voice,Order Status,Not Coached,0-3 months,Night,Evaluator 3,72.5,612.0,3.61,34,85.7,76.7,Not Met,Yes
2025-06-12,Agent_049,Team C,Sales,Voice,Escalation,Not Coached,12+ months,Mid,Evaluator 2,76.1,656.0,3.7,22,90.2,78.7,Not Met,No
2025-07-27,Agent_061,Team E,Retail Support,Chat,Policy Question,Coached,7-12 months,Morning,Evaluator 4,78.1,535.0,4.3,36,86.7,84.4,Not Met,No
2025-06-18,Agent_017,Team F,Sales,Voice,Policy Question,Coached,0-3 months,Morning,Evaluator 3,74.9,635.0,3.92,39,85.3,71.5,Not Met,Yes
2025-06-10,Agent_074,Team F,Claims,Chat,Policy Question,Coached,4-6 months,Night,Evaluator 3,80.5,,3.8,29,85.6,79.3,Not Met,No
2025-03-09,Agent_057,Team E,Sales,Voice,Billing Issue,Coached,7-12 months,Night,Evaluator 4,78.7,580.0,4.01,31,79.6,72.6,Not Met,Yes
2025-10-16,Agent_055,Team B,Tech Support,Voice,Billing Issue,Not Coached,12+ months,Mid,Evaluator 4,77.6,795.0,3.5,21,86.0,74.4,Not Met,No
2025-10-04,Agent_113,Team E,Tech Support,Voice,Policy Question,Coached,0-3 months,Mid,Evaluator 1,70.2,772.0,3.78,24,87.2,73.4,Not Met,Yes
2025-10-31,Agent_047,Team C,Sales,Voice,Refund Request,Not Coached,4-6 months,Morning,Evaluator 1,85.5,553.0,4.17,41,91.4,78.9,Met,No
2025-05-15,Agent_012,Team B,Tech Support,Voice,Escalation,Coached,12+ months,Night,Evaluator 1,83.1,781.0,4.04,49,97.0,75.2,Not Met,No
2025-07-14,Agent_062,Team F,Claims,Voice,Account Access,Not Coached,0-3 months,Night,Evaluator 2,72.4,661.0,4.31,26,88.4,70.9,Not Met,Yes
2025-05-08,Agent_080,Team A,Banking Support,Voice,Escalation,Coached,4-6 months,Morning,Evaluator 4,83.7,700.0,3.54,18,88.5,71.1,Not Met,No
2025-02-02,Agent_088,Team F,Tech Support,Voice,Policy Question,Coached,12+ months,Mid,Evaluator 3,82.8,739.0,3.94,31,87.5,74.5,Not Met,No
2025-06-25,Agent_083,Team C,Tech Support,Voice,Escalation,Coached,7-12 months,Morning,Evaluator 4,71.6,844.0,3.44,20,82.6,66.0,Not Met,Yes
2025-01-22,Agent_008,Team D,Sales,Email,Cancellation,Coached,4-6 months,Morning,Evaluator 3,82.2,431.0,4.17,39,89.0,79.2,Not Met,No
2025-08-26,Agent_095,Team D,Claims,Voice,Billing Issue,Not Coached,0-3 months,Morning,Evaluator 2,67.7,742.0,3.8,26,86.9,63.7,Not Met,Yes
2025-06-07,Agent_021,Team F,Banking Support,Chat,Billing Issue,Coached,0-3 months,Morning,Evaluator 4,76.7,543.0,4.51,34,84.2,70.2,Not Met,Yes
2025-02-07,Agent_081,Team D,Sales,Chat,Refund Request,Not Coached,4-6 months,Morning,Evaluator 3,86.3,437.0,4.13,35,90.8,82.9,Met,No
2025-08-18,Agent_087,Team D,Sales,Email,Account Access,Coached,12+ months,Morning,Evaluator 3,100.0,381.0,4.3,50,96.1,87.0,Met,No
2025-12-31,Agent_101,Team A,Billing,Chat,Policy Question,Coached,4-6 months,Mid,Evaluator 1,82.9,578.0,4.31,44,90.0,76.6,Not Met,No
2025-02-20,Agent_118,Team D,Claims,Voice,Upsell Inquiry,Coached,7-12 months,Mid,Evaluator 2,86.5,693.0,3.97,40,87.5,76.5,Met,No
2025-09-21,Agent_080,Team B,Banking Support,Chat,Refund Request,Not Coached,12+ months,Morning,Evaluator 4,87.4,590.0,4.43,33,96.4,79.0,Met,No
2025-10-10,Agent_070,Team E,Claims,Email,Refund Request,Not Coached,4-6 months,Morning,Evaluator 1,82.5,620.0,3.98,42,84.9,75.2,Not Met,Yes
2025-01-27,Agent_072,Team D,Banking Support,Voice,Account Access,Coached,0-3 months,Mid,Evaluator 2,76.6,704.0,4.07,32,95.9,74.1,Not Met,No
2025-08-14,Agent_025,Team E,Claims,Voice,Complaint,,7-12 months,Morning,Evaluator 1,76.2,659.0,3.48,25,88.6,69.5,Not Met,No
2025-10-04,Agent_082,Team A,Sales,Voice,Policy Question,Coached,12+ months,Morning,Evaluator 4,98.4,640.0,4.52,45,95.3,69.0,Met,No
2025-10-13,Agent_089,Team A,Sales,Chat,Upsell Inquiry,Not Coached,12+ months,Night,Evaluator 3,94.5,381.0,4.15,37,89.6,79.6,Met,No
2025-04-07,Agent_012,Team E,Retail Support,Chat,Billing Issue,Not Coached,0-3 months,Mid,Evaluator 4,64.4,610.0,3.8,31,81.7,71.1,Not Met,Yes
2025-10-11,Agent_015,Team A,Tech Support,Voice,Account Access,Coached,7-12 months,Night,Evaluator 2,73.5,762.0,3.8,37,87.3,79.0,Not Met,Yes
2025-11-13,Agent_059,Team A,Billing,Voice,Upsell Inquiry,Not Coached,7-12 months,Mid,Evaluator 4,88.1,607.0,3.82,55,87.0,78.7,Met,No
2025-10-31,Agent_026,Team A,Claims,Voice,Cancellation,Coached,12+ months,Morning,Evaluator 2,89.9,806.0,3.66,34,96.7,77.2,Met,No
2025-05-27,Agent_105,Team F,Billing,Voice,Refund Request,Not Coached,0-3 months,Mid,Evaluator 1,73.3,710.0,3.81,35,84.6,67.3,Not Met,Yes
2025-01-04,Agent_109,Team E,Retail Support,Email,Account Access,Coached,7-12 months,Morning,Evaluator 2,89.3,356.0,3.76,38,87.3,81.3,Met,No
2025-02-04,Agent_026,Team C,Tech Support,Voice,Billing Issue,Not Coached,12+ months,Mid,Evaluator 3,64.9,807.0,3.68,29,85.6,72.3,Not Met,Yes
2025-07-11,Agent_047,Team B,Claims,Voice,Escalation,Coached,4-6 months,Morning,Evaluator 3,68.3,758.0,4.09,35,88.5,69.9,Not Met,Yes
2025-02-18,Agent_032,Team C,Banking Support,Voice,Billing Issue,Not Coached,7-12 months,Night,Evaluator 3,74.9,778.0,3.88,31,92.2,67.5,Not Met,Yes
